id;firstname;lastname;phone;email
1;Dynamic;knowledge base Buckinghamshire;1-126-457-2290 x52618;Lindsey63@hotmail.com
2;RSS;mint green e-business EXE;1-818-339-1226;Aaron_Schumm@yahoo.com
3;Games;Iraq Bedfordshire;(123) 291-3255 x7430;Deontae25@hotmail.com
4;Buckinghamshire capability zero tolerance;mission-critical;540.023.9626 x15449;Deangelo.McLaughlin76@yahoo.com
5;Ergonomic transmitter;Point Orchestrator;580.781.3516;Ryann67@gmail.com
6;Clothing;open-source turn-key;(196) 335-9816;Murray92@yahoo.com
7;SMS Enhanced;Bacon Designer;1-522-909-8598 x613;Fay_Price89@gmail.com
8;AI optical invoice;Marketing;866.503.1969 x0213;Jean_Pollich@yahoo.com
9;Devolved driver Networked;Fish;678.763.5505;Lou24@yahoo.com
10;Strategist target;Investor users dot-com;564-812-7425 x0760;Zane_Weimann@gmail.com
